"GARCH(1,1)-N_cond_vol","GARCH(1,1)-t_cond_vol","EGARCH(1,1)-t_cond_vol","APARCH(1,1)-t_cond_vol"
2.6706325121846217,2.6918813892661366,2.5704236306950183,2.5503583210337033
2.5608740646859434,2.5949793868520055,2.4516230643499113,2.4444859586231673
2.475599081693204,2.51927414829574,2.392879213671387,2.3741628919572064
2.3781060432567553,2.4321419184755424,2.297468851182616,2.282947253070442
2.313118467427328,2.3732506595804654,2.266612281362218,2.2349674994608733
2.387380753300522,2.4374674616067873,2.374906181830073,2.321932548505002
2.29904923950076,2.3580923125400255,2.294372750766483,2.2411966114245816
2.243573078388899,2.3072506669867177,2.2705629644551566,2.201314060117412
2.1513728534984646,2.223745546883061,2.158624340737694,2.108009202294814
2.0954778938632765,2.171636393506611,2.1300505787304207,2.065366948696121
2.0445676060276634,2.1236300406197843,2.105661291987244,2.0271873718192652
2.11716435235455,2.183782092312343,2.2007217762836424,2.105578198309653
2.0293083004808,2.103885041199101,2.0808101493046025,2.013143957231326
2.2880246616098776,2.3297295745626503,2.298160453799729,2.236528339143085
2.373651899099295,2.405938689874069,2.4104968024120077,2.330528424515224
2.3529444657253316,2.3878201850102636,2.4275657999971485,2.3272863465438767
2.2616069973930095,2.306404961193489,2.3298899484482067,2.2387418149713914
2.1761784040612344,2.229704874849524,2.2429945520246,2.157193200659202
2.120122146401228,2.17850014342218,2.2105297675829294,2.1130228943505363
2.0607354263525828,2.124027425324588,2.169757849485062,2.063577416996728
2.108328340521741,2.1636592573683844,2.241640536335322,2.11877758204023
2.036492017553612,2.0983426249736015,2.174440116910875,2.0521496294482002
1.9525375752890097,2.0220093254401346,2.057139857044447,1.9626930530156568
1.8953321301462278,1.9687026383234032,2.014000976879824,1.9129715666657003
1.828882708142527,1.9070833923627952,1.948815217169969,1.8496492122448907
1.7546207543944505,1.8384204741001031,1.8443496109449304,1.7700139752208828
1.7950945309562443,1.8691373634549,1.9074000924797632,1.8163132908888668
1.7286958932579624,1.8074659384995155,1.8355517203589187,1.7505443832377698
1.7508645637084033,1.8225730507247977,1.8812801413859779,1.7799665201692962
1.6898404550991089,1.7656526912829007,1.819532876009728,1.720901861093637
1.6265965668371989,1.7065814339589946,1.7463190372620587,1.6566863232340965
1.5660252292646257,1.6496067549175037,1.6760232849365029,1.5950290957119582
1.5272689498309409,1.611227547819839,1.6505956549633034,1.5620939823767916
1.5162860520292247,1.596729128934941,1.659348815178579,1.5582505979006698
1.4579538858191727,1.5416193856085798,1.579347071439501,1.49547018919788
1.5208222552694486,1.5909267424285776,1.6524399499913955,1.5568798017979666
1.483555454070797,1.5545176353463575,1.6264242380039575,1.5247539409496245
1.439190798123947,1.5118746949825614,1.5857327622851123,1.4830548057714332
1.4182237564329012,1.4893328848131764,1.5792824542962545,1.4677642041073073
1.3653421637737158,1.4392751032080933,1.5073561238910396,1.4108720448354324
1.316678596660574,1.3926917741985423,1.446656525137654,1.3598609597822067
1.2718748574341219,1.3492959690086515,1.3942303964222817,1.3138144855247476
1.2247579279927074,1.303833568456932,1.3173403224637403,1.26067461553189
1.2341949123780114,1.30662714476928,1.3431420749688285,1.2745059278687554
1.2714383888564984,1.3340114290850202,1.392517055895311,1.3126879834565248
1.2252435521755334,1.2899950523815968,1.3273339302061178,1.2622508682966682
1.2625907299567556,1.3181702917524993,1.3770751830888575,1.3007573786661626
1.4614410399512956,1.4902308257593624,1.531377576270586,1.4627350700022994
1.4795361037283663,1.505328544584714,1.5716143575059633,1.48878478273276
1.4239838159819973,1.4549880275142468,1.502633591165728,1.431711067212141
1.3879952875779307,1.4216834341452358,1.4788760822311184,1.4017919605730447
1.3886343368228087,1.4206607687880621,1.4995024477656465,1.4100754097782981
1.3355566311272826,1.3721028415214285,1.4164206074969994,1.3518583953424024
1.3771452692871877,1.4071079465416947,1.4734661837996954,1.3966041834242173
1.3555843702242305,1.3865895039512208,1.4681205682904586,1.3818808404014462
1.5012961029583958,1.5155922144815384,1.594769379426102,1.5080719990041398
1.4450392935911804,1.4651667729011628,1.5261795924857011,1.4507487220451885
1.424146011047371,1.4460024346199545,1.5244333269447898,1.438257235966697
1.4102641280195678,1.432956207839036,1.5293708810444182,1.4323389686672516
1.3562210880193517,1.38397969396274,1.4478999069998078,1.3734874781537372
1.336417045938083,1.3651192431318653,1.4445858228730164,1.3606297506843443
1.3326798835208513,1.3604553189952144,1.458381616125184,1.363537990290273
1.3040301240244319,1.3336782290127145,1.439831179961835,1.3397217487989104
1.2613464446022564,1.2942945810833457,1.3920070040504964,1.2970553464839416
1.2311998537620983,1.2657601058137058,1.3680758536479607,1.270285138370276
1.2143091686398295,1.248788859705918,1.3620298831534368,1.2579239191533929
1.2256337531566959,1.2567617250290724,1.3856349824786558,1.2728081856426563
1.1859802825519181,1.2198499756579542,1.3375226177676318,1.2319375887263329
1.1502452029805885,1.18619121169141,1.2969432897373752,1.1959220627374998
1.1625390762286028,1.1947258117054436,1.3200877565939,1.2110951950425406
1.1306919253133716,1.164537699743692,1.2862665204256643,1.1797705581074742
1.146275761618373,1.1761047683192387,1.311423253094101,1.197519932385008
1.1080231345015654,1.140345768844576,1.2578568187034462,1.1559441691502506
1.0827319179136403,1.1158228687566325,1.2340268907285412,1.1320393920325473
1.078450392257654,1.1097381234801333,1.2380904369461425,1.1306387318389368
1.060562415356281,1.0917425463438446,1.2241134817959047,1.1146852661327298
1.0607968300535595,1.0897290726598488,1.231748338282943,1.1171761570312386
1.0652923731555857,1.0916625618533913,1.2433812302078773,1.1235791905855854
1.029158264574383,1.0577748030332987,1.1766719676211155,1.0807941859886818
1.0575803114624713,1.0808909814101295,1.2112020441670366,1.108894346346405
1.0288086886628327,1.0536602969666797,1.177111408897024,1.079286862221972
0.9977918595627061,1.0242931641689081,1.1343072538660492,1.0454971032350102
0.9668557484705116,0.9948443022683836,1.087398029937098,1.0106128289793772
0.9522365119772833,0.9796526797377716,1.0761392071802194,0.9974285026010824
0.9315319723567879,0.9590799842625556,1.0535691722467164,0.9765867580348568
1.0135746306682147,1.0297738019467617,1.126381533626777,1.0475994862310007
0.9979164108785562,1.0145173143134598,1.1161102951288147,1.0345572964747591
0.9655129410850676,0.9842421824408124,1.056887364499898,0.9966412787979756
0.9389024096405472,0.9589368813257225,1.0237008947791595,0.9687731977870505
1.0169883572312375,1.02715041558509,1.0968089993953902,1.038506868069039
1.0022906403433927,1.0131430964439312,1.0902052713602681,1.027456434288848
0.983022749697342,0.9949433003948681,1.0753868661680286,1.010636972200489
0.9673137143700896,0.9798179965247792,1.065023059286051,0.9975441338555954
0.9392497225077197,0.953537748453463,1.0269837895143572,0.967429896732983
0.9152357349210365,0.9307071359063859,0.9983405236851088,0.9428127203977225
0.8912112222682,0.9077331381696809,0.967323653155888,0.9174089569864434
0.8795666817403827,0.8956744617366424,0.959790308455891,0.9076650273883837
0.8556617403975536,0.8726653599356048,0.9238803676804336,0.8808557425839688
0.837763208071847,0.854884261010428,0.9033112940605376,0.8626545961056209
0.8170308113199616,0.8345144348525768,0.8730721056660932,0.8395533642185455
0.8029638986824545,0.819986990894565,0.8580875480827858,0.8256053788507639
0.7888704519166322,0.8054134154794931,0.841960237812016,0.8112364318950406
0.7984145218713755,0.8119101669321248,0.8578738376264494,0.8225154589356347
